,LQD,LQD,LQD,LQD,LQD,PZA,PZA,PZA,PZA,PZA,QQQ,QQQ,QQQ,QQQ,QQQ,TLT,TLT,TLT,TLT,TLT,USO,USO,USO,USO,USO,VMBS,VMBS,VMBS,VMBS,VMBS,VNQ,VNQ,VNQ,VNQ,VNQ
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2011-05-02 00:00:00-04:00,110.05,110.43,109.96,110.31,1374460.0,22.77,22.81,22.74,22.75,208419,59.19,59.34,58.82,58.9924,44312089,93.32,93.68,93.17,93.63,4389946.0,44.99,45.6,44.92,44.9395,10740748,50.7348,50.79,50.73,50.77,9903.0,62.13,62.36,61.4,61.9,2324829
2011-05-03 00:00:00-04:00,110.33,110.4,110.09,110.25,648982.0,22.76,22.85,22.76,22.82,83321,58.95,59.0,58.33,58.69,30746589,93.96,94.17,93.58,94.15,5952435.0,44.76,44.83,43.8,44.12,14207198,50.81,50.87,50.738,50.859,3887.0,61.74,62.19,60.69,61.39,1828226
2011-05-04 00:00:00-04:00,110.46,110.59,110.31,110.4,656364.0,22.86,22.99,22.8115,22.94,140827,58.72,58.87,58.11,58.6,48174869,94.31,94.72,94.27,94.59,6600138.0,43.92,44.01,43.0833,43.26,13263494,50.83,50.91,50.76,50.8176,3146.0,61.29,61.49,60.75,61.05,1577434
2011-05-05 00:00:00-04:00,110.51,110.88,110.51,110.79,761126.0,22.99,23.05,22.948,23.03,256741,58.31,58.97,58.08,58.28,60501065,94.91,95.63,94.809,95.46,7990952.0,41.99,42.05,39.02,39.328,58446897,50.92,51.02,50.92,50.988,1731.0,60.71,61.45,60.52,60.97,1846927
2011-05-06 00:00:00-04:00,110.56,111.03,110.42,110.77,830286.0,23.05,23.07,23.0,23.0,109594,58.86,59.2,58.31,58.48,59986642,94.51,95.49,94.35,95.0701,8701719.0,39.24,40.6501,38.5,38.87,38637577,51.01,51.12,50.988,51.04,11474.0,61.5,61.55,60.29,60.45,2121920
2011-05-09 00:00:00-04:00,110.81,111.0,110.73,110.93,469204.0,23.02,23.09,23.02,23.09,66468,58.56,58.92,58.34,58.68,37773579,94.9,95.2,94.84,94.97,3288931.0,39.42,41.04,39.278,40.8884,20986712,51.12,51.15,51.03,51.1272,11320.0,60.49,60.928,60.22,60.77,963490
2011-05-10 00:00:00-04:00,110.8,110.83,110.4,110.41,936530.0,23.08,23.1,23.06,23.1,101247,58.89,59.255,54.51,54.58,32767694,94.7,94.89,94.29,94.31,4639999.0,40.22,41.2601,39.98,41.07,14426227,50.92,51.13,50.92,51.058,8513.0,61.04,61.81,60.976,61.75,1647864
2011-05-11 00:00:00-04:00,110.45,110.77,110.31,110.63,532143.0,23.1,23.11,23.0434,23.11,156206,59.11,59.31,58.36,58.76,47625485,94.33,95.09,94.18,94.82,5275988.0,40.67,40.69,38.72,39.34,27560234,50.91,51.1002,50.8,50.9,58027.0,61.69,61.71,60.88,61.08,1696225
2011-05-12 00:00:00-04:00,110.57,110.7,110.18,110.39,581240.0,23.1,23.18,23.06,23.12,167168,58.56,59.19,58.24,59.11,53990412,94.95,95.11,93.91,94.24,7146119.0,38.71,39.87,38.12,39.27,28432214,50.87,51.1,50.87,50.9,16003.0,60.77,61.2741,60.39,61.15,1369503
2011-05-13 00:00:00-04:00,110.64,110.93,110.55,110.7,1050608.0,23.13,23.13,23.03,23.12,200889,54.38,54.47,53.84,53.86,55780382,94.66,95.49,94.53,95.06,7003447.0,39.25,39.61,38.53,39.43,19344175,51.07,51.15,50.919,51.1212,5885.0,61.33,61.33,60.38,60.5,1449339
2011-05-16 00:00:00-04:00,110.64,111.0799,110.6,111.01,585864.0,23.11,23.13,23.05,23.1,289156,58.16,58.32,57.27,57.4,48910971,95.02,95.79,94.76,95.59,5071458.0,39.26,39.52,38.45,38.5,14314043,51.12,51.15,50.95,51.15,1835.0,60.37,61.01,60.23,60.64,2116850
2011-05-17 00:00:00-04:00,111.05,111.349,110.9901,111.16,1124578.0,23.15,23.23,23.11,23.19,91765,52.66,53.08,52.54,53.07,62987192,96.03,96.6,95.98,96.57,8337849.0,38.25,38.61,37.72,38.56,18866340,51.27,51.27,51.0951,51.0951,3222.0,60.44,60.75,60.22,60.6,2164521
2011-05-18 00:00:00-04:00,111.24,111.36,110.87,110.93,463151.0,23.24,23.25,23.17,23.2,59116,57.49,58.14,57.41,58.02,30186034,96.27,96.39,95.28,95.29,6485656.0,39.17,40.03,38.97,39.52,14820483,51.068,51.15,51.052,51.052,4819.0,60.59,61.25,60.34,61.2,1294698
2011-05-19 00:00:00-04:00,110.59,111.1,110.5,111.088,412881.0,23.21,23.22,23.12,23.18,86376,58.23,58.34,57.85,58.21,31104357,94.47,95.32,94.46,95.29,7417263.0,39.56,39.8,38.94,39.06,13163965,51.16,51.27,51.056,51.188,4992.0,61.45,61.71,60.97,61.43,1315885
2011-05-20 00:00:00-04:00,110.91,111.09,110.8,111.02,541683.0,23.17,23.23,23.15,23.23,151536,58.15,58.21,57.69,57.79,34981907,95.02,95.41,94.7205,95.33,4882323.0,38.94,39.63,38.03,39.48,18983318,51.25,51.33,51.25,51.32,2421.0,61.19,61.41,60.6431,60.67,1325691
2011-05-23 00:00:00-04:00,111.29,111.35,110.9,110.96,1149763.0,23.22,23.25,23.22,23.25,79356,56.99,57.15,56.65,56.93,37559521,95.74,96.19,95.59,95.75,5803022.0,38.31,38.73,38.03,38.46,16093198,51.34,51.34,51.12,51.2,3137.0,60.08,60.36,59.92,60.04,1766071
2011-05-24 00:00:00-04:00,110.86,111.19,110.81,111.0901,574649.0,23.25,23.28,23.21,23.22,72236,57.07,57.07,56.56,56.57,32649860,95.64,96.14,95.46,96.13,4669077.0,39.26,39.5,38.65,39.3,12797321,51.07,51.36,51.07,51.22,2145.0,60.2,60.4889,60.04,60.26,1283209
2011-05-25 00:00:00-04:00,111.22,111.22,110.78,110.87,650794.0,23.21,23.27,23.19,23.27,114664,56.49,57.06,56.47,56.79,31157390,96.15,96.28,95.54,95.69,5132617.0,38.97,40.1,38.95,39.94,18923381,51.31,51.43,51.3,51.3,4570.0,60.14,60.85,59.72,60.55,1330020
2011-05-26 00:00:00-04:00,111.1,111.34,110.98,111.34,1005882.0,23.25,23.3,23.22,23.28,206116,56.62,57.3,56.61,57.16,35187335,95.97,96.55,95.89,96.5,7194440.0,39.84,39.99,39.32,39.59,12077041,51.031,51.33,51.031,51.33,9741.0,60.48,61.51,60.27,61.36,1056463
2011-05-27 00:00:00-04:00,111.24,111.45,111.11,111.45,483350.0,23.28,23.29,23.25,23.27,128908,52.79,53.02,52.74,52.95,29263923,96.13,96.51,95.88,96.47,4895097.0,39.75,39.85,39.5,39.7,6897278,51.1,51.32,51.06,51.06,2156.0,61.51,61.77,61.25,61.67,927076
2011-05-31 00:00:00-04:00,111.43,111.58,111.3,111.46,867640.0,23.29,23.3,23.25,23.28,201746,53.52,53.81,53.24,53.81,41202380,96.19,96.76,96.0899,96.69,6377316.0,40.66,40.74,40.21,40.5,9823831,51.24,51.2525,51.1448,51.2525,3644.0,62.18,62.7,61.95,62.7,1586211
2011-06-01 00:00:00-04:00,111.38,111.9,111.31,111.53,1363474.0,23.31,23.33,23.28,23.28,279639,53.68,53.82,52.6,52.64,48775726,96.92,97.718,96.89,97.64,11303353.0,40.54,40.56,39.43,39.52,11587861,51.34,51.43,51.252,51.252,948.0,62.55,62.61,60.8,60.87,2729130
2011-06-02 00:00:00-04:00,111.25,111.25,110.55,110.56,1176460.0,23.32,23.32,23.26,23.29,249776,57.21,57.41,56.89,57.2,41459625,96.49,96.91,95.78,95.81,13837140.0,39.67,39.82,38.86,39.67,15071889,51.2,51.43,51.2,51.41,4726.0,60.88,61.4048,60.34,60.45,2040410
2011-06-03 00:00:00-04:00,111.03,111.24,110.53,110.85,653112.0,23.29,23.34,23.29,23.33,203889,56.56,56.99,56.27,56.358,40148055,96.58,96.6,95.57,96.33,8866456.0,38.92,39.718,38.85,39.65,11075202,51.53,51.54,51.296,51.484,9155.0,59.84,60.9554,59.68,60.6685,1823081
2011-06-06 00:00:00-04:00,110.53,110.7844,110.45,110.62,429251.0,23.36,23.42,23.34,23.37,255907,51.85,52.12,51.5,51.53,41546039,95.47,95.99,95.21,95.61,7696960.0,39.4,39.45,38.89,39.01,10222085,51.41,51.51,51.41,51.504,4670.0,60.5799,60.78,59.7601,59.8,1142220
2011-06-07 00:00:00-04:00,110.53,111.03,110.47,111.0,391331.0,23.39,23.39,23.35,23.39,177716,56.05,56.26,55.75,55.77,35944220,95.23,96.06,95.12,96.05,6599388.0,38.98,39.34,38.57,39.05,8622502,51.47,51.547,51.32,51.547,2850.0,60.19,60.96,59.94,60.44,1130733
2011-06-08 00:00:00-04:00,111.03,111.2355,110.91,111.05,435093.0,23.39,23.4171,23.37,23.41,183682,51.34,51.42,50.93,51.07,44702264,96.26,96.84,96.17,96.78,7949951.0,39.35,40.2,39.35,39.83,16736535,51.61,51.6264,51.6,51.6,2451.0,60.16,60.81,60.11,60.2597,1474881
2011-06-09 00:00:00-04:00,111.15,111.25,110.56,110.75,1248171.0,23.41,23.41,23.37,23.37,47207,51.07,51.42,50.93,51.17,36233241,97.1,97.33,95.93,96.42,9432152.0,40.0,40.4,39.76,40.13,7764985,51.42,51.54,51.281,51.46,5358.0,60.42,60.46,59.33,59.59,1341873
2011-06-10 00:00:00-04:00,110.82,110.9899,110.53,110.61,1103615.0,23.4,23.4,23.35,23.4,147747,50.95,51.05,50.35,50.38,48740616,96.91,97.39,96.8,97.12,6823239.0,39.58,39.61,38.9119,39.07,10987730,51.49,51.52,51.28,51.4499,6492.0,59.33,59.43,58.01,58.1,1952326
2011-06-13 00:00:00-04:00,110.59,110.87,110.48,110.77,893766.0,23.38,23.42,23.3475,23.38,132627,50.47,50.67,50.23,50.38,35019206,96.74,97.29,96.64,96.645,4854278.0,38.72,39.05,37.95,38.27,12135799,51.39,51.4035,51.28,51.4035,3646.0,58.25,58.76,57.98,58.37,1684263
2011-06-14 00:00:00-04:00,110.42,110.55,110.31,110.4,627985.0,23.39,23.39,23.32,23.33,62913,50.75,51.14,50.73,51.03,36753578,95.73,95.9,95.13,95.19,7247045.0,38.38,39.2,38.379,39.11,7485402,51.38,51.38,51.15,51.33,7518.0,58.91,59.37,58.74,59.23,1099227
2011-06-15 00:00:00-04:00,110.35,111.05,110.3,111.03,1001076.0,23.28,23.2955,23.21,23.232,102787,50.55,50.84,49.95,50.06,54610847,95.38,96.94,95.37,96.91,11494961.0,38.95,39.39,37.07,37.58,19684949,51.4,51.41,51.35,51.394,1657.0,58.7,59.01,57.82,58.26,1717978
2011-06-16 00:00:00-04:00,111.0,111.09,110.73,110.83,985631.0,23.24,23.33,23.24,23.27,130635,50.09,50.25,49.44,49.87,54016093,97.09,97.53,96.81,97.38,10118556.0,37.47,37.62,37.1999,37.41,9632709,51.39,51.39,51.17,51.2382,2821.0,58.27,59.0,57.8888,58.7201,2055150
2011-06-17 00:00:00-04:00,110.78,111.05,110.76,110.86,533959.0,23.31,23.37,23.3,23.3,74104,50.32,50.38,49.56,49.71,58917610,96.86,97.15,96.64,96.9,8917824.0,36.75,37.0305,36.2,36.63,12293673,51.35,51.4,51.3083,51.4,5641.0,59.36,59.445,58.73,59.29,1859135
2011-06-20 00:00:00-04:00,110.99,111.0,110.62,110.88,608217.0,23.32,23.38,23.3,23.38,116801,53.66,54.23,53.64,54.07,34341645,97.33,97.36,96.585,97.0,6332540.0,36.49,36.82,36.33,36.74,6098923,51.33,51.37,51.17,51.36,3434.0,59.08,60.15,59.08,60.02,1833515
2011-06-21 00:00:00-04:00,110.85,111.06,110.65,110.85,681448.0,23.38,23.38,23.3,23.32,95492,54.27,55.29,54.03,55.225,46667167,96.7,97.03,96.27,96.61,7068222.0,36.94,37.22,36.45,36.79,9351442,51.35,51.35,51.301,51.301,1095.0,60.36,60.5316,59.9902,60.48,1342330
2011-06-22 00:00:00-04:00,111.09,111.1,110.703,111.0,684565.0,23.37,23.38,23.31,23.33,57539,54.99,55.32,54.82,54.835,33453246,96.97,97.06,96.41,96.63,5261432.0,36.97,37.55,36.91,37.1,8530805,51.48,51.49,51.48,51.49,743.0,60.34,60.88,60.23,60.29,2141662
2011-06-23 00:00:00-04:00,111.06,111.43,111.0,111.3,749174.0,23.34,23.41,23.33,23.4,90026,54.27,55.37,54.06,55.34,70250950,97.24,97.74,97.15,97.37,7906276.0,35.7501,36.11,35.2097,35.99,21820735,51.31,51.6,51.31,51.5599,7118.0,59.47,59.56,58.53,59.05,2521357
2011-06-24 00:00:00-04:00,111.31,111.56,111.19,111.36,704379.0,23.4,23.4,23.33,23.35,64404,55.06,55.13,54.27,54.38,45009221,97.36,97.6901,96.98,96.99,7354762.0,35.69,35.885,35.24,35.81,11563571,51.36,51.505,51.35,51.39,1765.0,58.71,59.0401,58.204,58.55,2017503
2011-06-27 00:00:00-04:00,111.39,111.4204,110.91,110.98,909448.0,23.36,23.4,23.36,23.38,51134,54.43,55.53,54.32,55.24,42185448,96.85,96.87,95.55,95.68,8537024.0,35.32,35.79,35.14,35.63,6988692,51.29,51.55,51.29,51.45,4205.0,58.61,59.05,58.53,58.85,1195789
2011-06-28 00:00:00-04:00,110.74,110.82,110.13,110.26,837235.0,23.39,23.39,23.27,23.31,68929,55.37,56.08,55.29,56.07,36046295,95.48,95.68,94.72,94.89,11061487.0,35.88,36.46,35.69,36.4399,9074118,51.34,51.36,51.1713,51.25,17440.0,59.02,59.37,58.64,59.32,1211055
2011-06-29 00:00:00-04:00,110.19,110.338,109.8,109.97,1020085.0,23.25,23.3,23.24,23.28,98130,56.23,56.41,55.9,56.3,54222203,94.95,95.1986,94.02,94.25,10227132.0,36.48,37.6,36.44,37.23,14786198,51.3,51.3,51.05,51.08,6643.0,59.64,60.09,59.32,59.95,2012684
2011-06-30 00:00:00-04:00,110.17,110.21,109.57,110.09,882771.0,23.26,23.27,23.14,23.19,119174,56.51,57.09,56.47,57.03,41076847,94.23,94.31,93.14,94.1,10899771.0,37.23,37.59,36.83,37.24,9429818,51.17,51.17,51.0159,51.14,3358.0,60.14,60.4,59.83,60.09,1701108
2011-07-01 00:00:00-04:00,109.95,109.96,109.39,109.72,1200875.0,23.2,23.23,23.14,23.21,72699,57.08,57.985,56.92,57.91,42489547,94.13,94.23,93.365,93.6,6161976.0,36.97,37.42,36.66,37.15,9601049,51.05,51.15,51.0,51.09,39383.0,60.27,61.3,60.12,61.15,1511013
2011-07-05 00:00:00-04:00,109.72,110.38,109.72,110.09,1093759.0,23.18,23.21,23.1675,23.2,98734,57.95,58.26,57.83,58.19,40964412,94.04,94.17,93.69,93.84,3883255.0,37.71,38.23,37.63,37.96,8404047,51.16,51.23,51.03,51.23,11369.0,61.31,61.79,60.84,61.64,1639514
2011-07-06 00:00:00-04:00,110.18,110.34,110.01,110.33,1293040.0,23.19,23.23,23.17,23.23,125331,58.14,58.49,57.94,58.38,39890208,94.19,94.45,93.8399,94.29,4936018.0,37.98,38.14,37.68,37.9,6976507,52.11,52.11,51.1786,51.223,5790.0,61.42,62.15,61.34,62.09,1505364
2011-07-07 00:00:00-04:00,110.07,110.43,110.0,110.35,1373224.0,23.19,23.22,23.14,23.15,238565,54.35,54.85,54.27,54.7,45327614,93.83,94.145,93.55,94.05,5882206.0,38.62,38.98,38.42,38.61,12790808,51.31,51.31,50.96,51.15,4234.0,62.53,62.99,62.45,62.86,1435459
2011-07-08 00:00:00-04:00,110.73,111.15,110.51,111.07,1034603.0,23.2,23.26,23.17,23.19,475861,54.25,54.56,53.95,54.55,47375834,94.85,95.61,94.83,95.36,9802620.0,38.02,38.09,37.5,37.78,8331657,51.05,51.29,51.05,51.13,17205.0,62.13,62.78,61.96,62.73,1808319
