Date,open,high,low,close,volume
2011-05-02 00:00:00-04:00,22.77,22.81,22.74,22.75,208419
2011-05-03 00:00:00-04:00,22.76,22.85,22.76,22.82,83321
2011-05-04 00:00:00-04:00,22.86,22.99,22.8115,22.94,140827
2011-05-05 00:00:00-04:00,22.99,23.05,22.948,23.03,256741
2011-05-06 00:00:00-04:00,23.05,23.07,23,23,109594
2011-05-09 00:00:00-04:00,23.02,23.09,23.02,23.09,66468
2011-05-10 00:00:00-04:00,23.08,23.1,23.06,23.1,101247
2011-05-11 00:00:00-04:00,23.1,23.11,23.0434,23.11,156206
2011-05-12 00:00:00-04:00,23.1,23.18,23.06,23.12,167168
2011-05-13 00:00:00-04:00,23.13,23.13,23.03,23.12,200889
2011-05-16 00:00:00-04:00,23.11,23.13,23.05,23.1,289156
2011-05-17 00:00:00-04:00,23.15,23.23,23.11,23.19,91765
2011-05-18 00:00:00-04:00,23.24,23.25,23.17,23.2,59116
2011-05-19 00:00:00-04:00,23.21,23.22,23.12,23.18,86376
2011-05-20 00:00:00-04:00,23.17,23.23,23.15,23.23,151536
2011-05-23 00:00:00-04:00,23.22,23.25,23.22,23.25,79356
2011-05-24 00:00:00-04:00,23.25,23.28,23.21,23.22,72236
2011-05-25 00:00:00-04:00,23.21,23.27,23.19,23.27,114664
2011-05-26 00:00:00-04:00,23.25,23.3,23.22,23.28,206116
2011-05-27 00:00:00-04:00,23.28,23.29,23.25,23.27,128908
2011-05-31 00:00:00-04:00,23.29,23.3,23.25,23.28,201746
2011-06-01 00:00:00-04:00,23.31,23.33,23.28,23.28,279639
2011-06-02 00:00:00-04:00,23.32,23.32,23.26,23.29,249776
2011-06-03 00:00:00-04:00,23.29,23.34,23.29,23.33,203889
2011-06-06 00:00:00-04:00,23.36,23.42,23.34,23.37,255907
2011-06-07 00:00:00-04:00,23.39,23.39,23.35,23.39,177716
2011-06-08 00:00:00-04:00,23.39,23.4171,23.37,23.41,183682
2011-06-09 00:00:00-04:00,23.41,23.41,23.37,23.37,47207
2011-06-10 00:00:00-04:00,23.4,23.4,23.35,23.4,147747
2011-06-13 00:00:00-04:00,23.38,23.42,23.3475,23.38,132627
2011-06-14 00:00:00-04:00,23.39,23.39,23.32,23.33,62913
2011-06-15 00:00:00-04:00,23.28,23.2955,23.21,23.232,102787
2011-06-16 00:00:00-04:00,23.24,23.33,23.24,23.27,130635
2011-06-17 00:00:00-04:00,23.31,23.37,23.3,23.3,74104
2011-06-20 00:00:00-04:00,23.32,23.38,23.3,23.38,116801
2011-06-21 00:00:00-04:00,23.38,23.38,23.3,23.32,95492
2011-06-22 00:00:00-04:00,23.37,23.38,23.31,23.33,57539
2011-06-23 00:00:00-04:00,23.34,23.41,23.33,23.4,90026
2011-06-24 00:00:00-04:00,23.4,23.4,23.33,23.35,64404
2011-06-27 00:00:00-04:00,23.36,23.4,23.36,23.38,51134
2011-06-28 00:00:00-04:00,23.39,23.39,23.27,23.31,68929
2011-06-29 00:00:00-04:00,23.25,23.3,23.24,23.28,98130
2011-06-30 00:00:00-04:00,23.26,23.27,23.14,23.19,119174
2011-07-01 00:00:00-04:00,23.2,23.23,23.14,23.21,72699
2011-07-05 00:00:00-04:00,23.18,23.21,23.1675,23.2,98734
2011-07-06 00:00:00-04:00,23.19,23.23,23.17,23.23,125331
2011-07-07 00:00:00-04:00,23.19,23.22,23.14,23.15,238565
2011-07-08 00:00:00-04:00,23.2,23.26,23.17,23.19,475861
2011-07-11 00:00:00-04:00,23.21,23.3,23.21,23.27,126786
2011-07-12 00:00:00-04:00,23.29,23.4,23.28,23.4,74539
2011-07-13 00:00:00-04:00,23.38,23.45,23.378,23.45,106666
2011-07-14 00:00:00-04:00,23.42,23.45,23.37,23.38,60721
2011-07-15 00:00:00-04:00,23.31,23.34,23.27,23.27,67599
2011-07-18 00:00:00-04:00,23.32,23.34,23.27,23.34,93232
2011-07-19 00:00:00-04:00,23.33,23.35,23.3,23.35,54306
2011-07-20 00:00:00-04:00,23.36,23.36,23.28,23.312,111546
2011-07-21 00:00:00-04:00,23.34,23.35,23.25,23.25,93358
2011-07-22 00:00:00-04:00,23.3,23.33,23.271,23.29,58916
2011-07-25 00:00:00-04:00,23.28,23.32,23.27,23.28,99533
2011-07-26 00:00:00-04:00,23.28,23.35,23.28,23.3,121959
2011-07-27 00:00:00-04:00,23.31,23.31,23.24,23.25,122469
2011-07-28 00:00:00-04:00,23.3,23.3,23.23,23.23,102528
2011-07-29 00:00:00-04:00,23.23,23.3,23.23,23.3,100222
2011-08-01 00:00:00-04:00,23.32,23.39,23.3,23.37,93963
2011-08-02 00:00:00-04:00,23.4,23.55,23.4,23.55,228981
2011-08-03 00:00:00-04:00,23.61,23.78,23.53,23.779,163809
2011-08-04 00:00:00-04:00,23.8,23.96,23.79,23.93,213342
2011-08-05 00:00:00-04:00,23.88,23.91,23.661,23.86,132316
2011-08-08 00:00:00-04:00,23.9,23.9,23.65,23.74,354192
