Date,open,high,low,close,volume
2011-05-02 00:00:00-04:00,93.32,93.68,93.17,93.63,4389946
2011-05-03 00:00:00-04:00,93.96,94.17,93.58,94.15,5952435
2011-05-04 00:00:00-04:00,94.31,94.72,94.27,94.59,6600138
2011-05-05 00:00:00-04:00,94.91,95.63,94.809,95.46,7990952
2011-05-06 00:00:00-04:00,94.51,95.49,94.35,95.0701,8701719
2011-05-09 00:00:00-04:00,94.9,95.2,94.84,94.97,3288931
2011-05-10 00:00:00-04:00,94.7,94.89,94.29,94.31,4639999
2011-05-11 00:00:00-04:00,94.33,95.09,94.18,94.82,5275988
2011-05-12 00:00:00-04:00,94.95,95.11,93.91,94.24,7146119
2011-05-13 00:00:00-04:00,94.66,95.49,94.53,95.06,7003447
2011-05-16 00:00:00-04:00,95.02,95.79,94.76,95.59,5071458
2011-05-17 00:00:00-04:00,96.03,96.6,95.98,96.57,8337849
2011-05-18 00:00:00-04:00,96.27,96.39,95.28,95.29,6485656
2011-05-19 00:00:00-04:00,94.47,95.32,94.46,95.29,7417263
2011-05-20 00:00:00-04:00,95.02,95.41,94.7205,95.33,4882323
2011-05-23 00:00:00-04:00,95.74,96.19,95.59,95.75,5803022
2011-05-24 00:00:00-04:00,95.64,96.14,95.46,96.13,4669077
2011-05-25 00:00:00-04:00,96.15,96.28,95.54,95.69,5132617
2011-05-26 00:00:00-04:00,95.97,96.55,95.89,96.5,7194440
2011-05-27 00:00:00-04:00,96.13,96.51,95.88,96.47,4895097
2011-05-31 00:00:00-04:00,96.19,96.76,96.0899,96.69,6377316
2011-06-01 00:00:00-04:00,96.92,97.718,96.89,97.64,11303353
2011-06-02 00:00:00-04:00,96.49,96.91,95.78,95.81,13837140
2011-06-03 00:00:00-04:00,96.58,96.6,95.57,96.33,8866456
2011-06-06 00:00:00-04:00,95.47,95.99,95.21,95.61,7696960
2011-06-07 00:00:00-04:00,95.23,96.06,95.12,96.05,6599388
2011-06-08 00:00:00-04:00,96.26,96.84,96.17,96.78,7949951
2011-06-09 00:00:00-04:00,97.1,97.33,95.93,96.42,9432152
2011-06-10 00:00:00-04:00,96.91,97.39,96.8,97.12,6823239
2011-06-13 00:00:00-04:00,96.74,97.29,96.64,96.645,4854278
2011-06-14 00:00:00-04:00,95.73,95.9,95.13,95.19,7247045
2011-06-15 00:00:00-04:00,95.38,96.94,95.37,96.91,11494961
2011-06-16 00:00:00-04:00,97.09,97.53,96.81,97.38,10118556
2011-06-17 00:00:00-04:00,96.86,97.15,96.64,96.9,8917824
2011-06-20 00:00:00-04:00,97.33,97.36,96.585,97,6332540
2011-06-21 00:00:00-04:00,96.7,97.03,96.27,96.61,7068222
2011-06-22 00:00:00-04:00,96.97,97.06,96.41,96.63,5261432
2011-06-23 00:00:00-04:00,97.24,97.74,97.15,97.37,7906276
2011-06-24 00:00:00-04:00,97.36,97.6901,96.98,96.99,7354762
2011-06-27 00:00:00-04:00,96.85,96.87,95.55,95.68,8537024
2011-06-28 00:00:00-04:00,95.48,95.68,94.72,94.89,11061487
2011-06-29 00:00:00-04:00,94.95,95.1986,94.02,94.25,10227132
2011-06-30 00:00:00-04:00,94.23,94.31,93.14,94.1,10899771
2011-07-01 00:00:00-04:00,94.13,94.23,93.365,93.6,6161976
2011-07-05 00:00:00-04:00,94.04,94.17,93.69,93.84,3883255
2011-07-06 00:00:00-04:00,94.19,94.45,93.8399,94.29,4936018
2011-07-07 00:00:00-04:00,93.83,94.145,93.55,94.05,5882206
2011-07-08 00:00:00-04:00,94.85,95.61,94.83,95.36,9802620
2011-07-11 00:00:00-04:00,96.04,96.79,95.7501,96.77,7572894
2011-07-12 00:00:00-04:00,97.3,97.31,96.56,97.13,8377124
2011-07-13 00:00:00-04:00,96.71,97.43,96.11,97.38,12225079
2011-07-14 00:00:00-04:00,96.62,97.9,96.01,96.03,10250604
2011-07-15 00:00:00-04:00,95.29,96.2,95.2405,96.16,6545839
2011-07-18 00:00:00-04:00,96.07,96.17,95.2,95.24,6870068
2011-07-19 00:00:00-04:00,95.32,97.27,95.17,97.24,12863469
2011-07-20 00:00:00-04:00,96.73,96.84,95.866,96.07,8753911
2011-07-21 00:00:00-04:00,95.25,95.86,94.9,95.35,10512699
2011-07-22 00:00:00-04:00,95.69,96.09,95.53,96.05,4372930
2011-07-25 00:00:00-04:00,94.97,96.05,94.83,95.04,9779814
2011-07-26 00:00:00-04:00,95.3,95.87,95.24,95.65,6366151
2011-07-27 00:00:00-04:00,95.34,95.84,95.1,95.68,9875261
2011-07-28 00:00:00-04:00,96.11,96.31,95.71,96.01,6381010
2011-07-29 00:00:00-04:00,96.9,98.53,96.78,97.91,16495160
2011-08-01 00:00:00-04:00,97.39,98.94,97.35,98.57,13614293
2011-08-02 00:00:00-04:00,99.22,101.57,98.89,101.53,18616086
2011-08-03 00:00:00-04:00,101.57,103.42,101.36,101.75,20379246
2011-08-04 00:00:00-04:00,102.38,105.37,102.27,105.37,29712456
2011-08-05 00:00:00-04:00,103.44,105.5,102.28,102.32,36487102
2011-08-08 00:00:00-04:00,103.18,105.79,102.95,105.54,34547504
2011-08-09 00:00:00-04:00,105.01,109.37,103,105.86,38532998
