timestamp,open,high,low,close,volume
1/22/2021,34.96,35.62,34.91,35.23,4673306
1/21/2021,35.82,36,35.6386,35.76,3013233
1/20/2021,36.14,36.2,35.6887,35.79,3222621
1/19/2021,35.71,35.89,35.53,35.75,3804303
1/15/2021,35.72,35.82,35.125,35.34,5492212
1/14/2021,35.7,36.32,35.61,36.24,5175030
1/13/2021,35.77,36.1,35.6,35.8,4456975
1/12/2021,35.65,36.01,35.57,35.9,4112623
1/11/2021,34.88,35.405,34.81,35.26,5113090
1/8/2021,34.93,35.5,34.75,35.43,7554646
1/7/2021,34.35,34.585,34.29,34.53,4103115
1/6/2021,33.94,34.47,33.56,34.11,7461058
1/5/2021,33.38,34.12,33.38,33.94,13616817
1/4/2021,33,33.29,32.24,32.38,14340206
12/31/2020,32.73,33.105,32.63,33.01,4424897
12/30/2020,32.58,33.2168,32.55,32.91,4840011
12/29/2020,32.95,32.99,32.66,32.78,3630959
12/28/2020,32.88,33.05,32.51,32.59,4799434
12/24/2020,32.66,32.92,32.57,32.92,1694292
12/23/2020,32.33,33.08,32.33,32.75,5077488
12/22/2020,32.28,32.47,32,32.09,3769374
12/21/2020,32.18,32.84,32.12,32.64,6144336
12/18/2020,33.33,33.67,33.26,33.48,4758989
12/17/2020,33.01,33.227,32.92,33.16,4534039
12/16/2020,32.55,32.81,32.32,32.74,4349302
12/15/2020,32.32,32.6224,32.25,32.54,3509357
12/14/2020,32.14,32.2281,31.37,32.17,4877234
12/11/2020,32.03,32.1327,31.77,31.94,3394047
12/10/2020,31.84,32.645,31.83,32.11,7572017
12/9/2020,31.55,31.66,30.9,31.34,7632750
12/8/2020,31.22,31.465,31.04,31.41,3785968
12/7/2020,31.44,31.87,31.31,31.4,4785444
12/4/2020,31.31,31.74,31.28,31.56,6930198
12/3/2020,30.89,31.36,30.81,31.25,5559714
12/2/2020,30.58,31.43,30.58,30.97,7064310
12/1/2020,30.92,30.96,30.34,30.62,4510971
11/30/2020,31.12,31.285,30.68,30.97,6778489
11/27/2020,31.12,31.36,31.03,31.22,2904863
11/25/2020,31.3,31.68,31.02,31.37,5865626
11/24/2020,30.23,31.03,30.21,30.8,9081971
11/23/2020,29.58,29.72,29.41,29.52,4398041
11/20/2020,28.93,29.36,28.92,29.27,4908811
11/19/2020,28.93,29.14,28.75,29.09,2934277
11/18/2020,29.07,29.36,28.96,29,4112069
11/17/2020,28.57,29.015,28.48,28.87,3614024
11/16/2020,29.12,29.17,28.66,28.81,4576603
11/13/2020,28.52,28.5701,28.06,28.13,4373548
11/12/2020,29.21,29.4366,28.62,28.66,6091355
11/11/2020,29.7,29.75,28.92,29.04,6376554
11/10/2020,28.66,28.97,28.47,28.91,6602443
11/9/2020,28.59,28.82,28.06,28.07,9840283
11/6/2020,26.83,26.87,26.2,26.47,5117706
11/5/2020,27.41,27.7,27.08,27.16,5115014
11/4/2020,27.12,27.63,26.6889,27.44,5982511
11/3/2020,26.94,27.01,26.45,26.72,7241315
11/2/2020,25.16,26.29,25.14,26.26,5385148
10/30/2020,25.31,25.4,24.96,25.25,5426085
10/29/2020,24.92,25.74,24.75,25.6,8401411
10/28/2020,26.44,26.56,26.09,26.31,7010972
10/27/2020,27.31,27.95,27.23,27.69,3037176
