timestamp,open,high,low,close,volume
1/22/2021,54.07,54.08,54.03,54.05,831358
1/21/2021,54.03,54.06,54.02,54.06,1217060
1/20/2021,54.08,54.08,54.011,54.05,878730
1/19/2021,54,54.04,53.98,54.02,1646575
1/15/2021,54.0752,54.0752,53.99,54.03,2243621
1/14/2021,53.98,54.02,53.97,54,1714347
1/13/2021,53.92,53.99,53.92,53.98,5879478
1/12/2021,53.84,54,53.83,53.92,2143182
1/11/2021,54.1128,54.1128,54.005,54.02,1160250
1/8/2021,54.0605,54.11,54.06,54.09,1119104
1/7/2021,54.13,54.14,54.09,54.1,763945
1/6/2021,54.1,54.18,54.08,54.14,1620889
1/5/2021,54.18,54.189,54.1117,54.16,1107706
1/4/2021,54.06,54.1,54.05,54.08,1179683
12/31/2020,54.1,54.1,54.045,54.07,909179
12/30/2020,54.07,54.07,54.02,54.05,837098
12/29/2020,54.04,54.05,54.02,54.04,827396
12/28/2020,54.02,54.04,54,54.03,1184143
12/24/2020,54.03,54.04,54.01,54.01,469673
12/23/2020,54.04,54.05,53.98,54.02,1895944
12/22/2020,54.15,54.17,54.12,54.16,1170059
12/21/2020,54.16,54.18,54.1,54.18,1679192
12/18/2020,54.11,54.17,54.1,54.15,1819757
12/17/2020,54.1,54.12,54.06,54.11,995883
12/16/2020,54.07,54.09,54.05,54.08,1549923
12/15/2020,54.06,54.08,54.04,54.08,1259243
12/14/2020,54.04,54.05,54.03,54.05,1173154
12/11/2020,54.04,54.08,54.0187,54.07,1046938
12/10/2020,54,54.01,53.98,54,1448588
12/9/2020,54.04,54.04,53.97,53.99,3552488
12/8/2020,54.08,54.0907,54.06,54.08,961551
12/7/2020,54.08,54.1,54.07,54.09,677899
12/4/2020,54.09,54.1,54.07,54.08,881538
12/3/2020,54.11,54.11,54.0743,54.1,721075
12/2/2020,54.1,54.1,54.03,54.07,1312373
12/1/2020,54.07,54.12,53.97,54.04,1264327
11/30/2020,54.04,54.13,54.04,54.12,1341657
11/27/2020,54.1377,54.1377,54.08,54.1,636484
11/25/2020,54.11,54.14,54.09,54.11,1049078
11/24/2020,54.1,54.12,54.1,54.11,1574137
11/23/2020,54.0403,54.15,54.0403,54.12,1002851
11/20/2020,54.1,54.12,54.09,54.12,989675
11/19/2020,54.11,54.13,54.09,54.12,1408167
11/18/2020,54.09,54.1,54.06,54.07,1309884
11/17/2020,54.08,54.09,54.04,54.04,2617153
11/16/2020,54.05,54.05,54.01,54.01,862977
11/13/2020,54.05,54.07,53.9868,54.05,1066698
11/12/2020,54.08,54.08,53.98,54.04,1846665
